Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,87.88086271824717,17.295994116580047,88.8,0.2500559532524492,0.2222222222222222,0.1359773371104816,0.6075949367088608,1.6830198764801023,1.735442876815796
2_annthyroid,KNN,84.39000000000001,23.392041511343667,85.87962962962963,0.2590485546160739,0.3176733780760626,0.2473867595818815,0.44375,0.0361173152923584,0.0602002143859863
3_backdoor,KNN,45.784219941523304,1.8350810892783211,87.9,-0.0263164228766263,0.016260162601626,0.0098039215686274,0.0476190476190476,0.0667896270751953,0.1073358058929443
4_breastw,KNN,79.87588652482269,55.50021683548846,70.24390243902438,0.2204886620695268,0.3711340206185567,0.5454545454545454,0.28125,0.0027911663055419,0.0056173801422119
5_campaign,KNN,47.771194826483296,9.478912169890704,82.16666666666667,0.0078046962155844,0.1068447412353923,0.1056105610561056,0.1081081081081081,0.0615711212158203,0.109689712524414
6_cardio,KNN,94.83333333333334,68.99307814984877,87.63636363636364,0.5985073546479541,0.6179775280898876,0.4661016949152542,0.9166666666666666,0.0153934955596923,0.0287442207336425
7_Cardiotocography,KNN,96.11713854722674,84.55703699579662,90.23622047244096,0.7371394015938847,0.7960526315789473,0.7333333333333333,0.8705035971223022,0.0138511657714843,0.0273313522338867
8_celeba,KNN,96.6378724302023,62.52824071555237,89.7,0.338289402050608,0.2518159806295399,0.1464788732394366,0.896551724137931,0.0778751373291015,0.1274704933166504
9_census,KNN,48.19145903669194,5.046963121717176,86.63333333333333,-0.0014194703001377,0.0652680652680652,0.051660516605166,0.0886075949367088,0.0638351440429687,0.1130082607269287
10_cover,KNN,95.73961840628506,15.32759126875132,89.43333333333334,0.2586692012135624,0.1501340482573726,0.0816326530612244,0.9333333333333332,0.0633869171142578,0.1031010150909423
11_donors,KNN,89.3009185800608,45.36407451225967,89.3,0.3600417550846476,0.3618290258449304,0.25,0.6546762589928058,0.135185956954956,0.2456798553466797
12_fault,KNN,99.33013144590495,98.20337639779704,94.16809605488852,0.885256003100216,0.9267241379310344,0.8634538152610441,1.0,0.0122809410095214,0.0248336791992187
13_fraud,KNN,99.66633299966632,16.19047619047619,90.13333333333333,0.0950919938972617,0.0198675496688741,0.0100334448160535,1.0,0.0716938972473144,0.1243834495544433
14_glass,KNN,78.57142857142857,53.44827586206896,93.84615384615384,0.3250833076438486,0.3333333333333333,0.25,0.5,0.0014288425445556,0.0025229454040527
15_Hepatitis,KNN,95.0,67.91666666666667,79.16666666666666,-0.0932504808240313,0.0,0.0,0.0,0.0027649402618408,0.0067863464355468
16_http,KNN,45.919497308851184,0.6941441341805864,89.83333333333333,-0.0046767587638537,0.006514657980456,0.0034013605442176,0.0769230769230769,0.0351552963256835,0.0609753131866455
17_InternetAds,KNN,50.68560606060606,21.04102244091775,75.9322033898305,0.0405114293754717,0.1647058823529411,0.2333333333333333,0.1272727272727272,0.01350998878479,0.0294024944305419
18_Ionosphere,KNN,96.7470340604669,87.9459522474049,93.39622641509436,0.8713479454561286,0.9176470588235294,0.8478260869565217,1.0,0.003166913986206,0.0075142383575439
19_landsat,KNN,99.85022305034954,99.13749912373984,91.71413775245986,0.7941434926529913,0.8257080610021786,0.7031539888682746,1.0,0.035093069076538,0.0625402927398681
20_letter,KNN,99.66358284272498,93.16545190389994,91.25,0.6086157789275403,0.58,0.4084507042253521,1.0,0.0140416622161865,0.0253603458404541
