Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
27_PageBlocks,KNN,81.42369598092114,37.31883630522832,85.7849196538937,0.2892396422717599,0.3611111111111111,0.3080568720379147,0.436241610738255,0.0372006893157959,0.0653216838836669
28_pendigits,KNN,100.0,100.0,91.46045608927706,0.445788777555953,0.3576642335766423,0.2177777777777777,1.0,0.0628590583801269,0.0988805294036865
29_Pima,KNN,100.0,100.0,94.8051948051948,0.892051550175079,0.925925925925926,0.8620689655172413,1.0,0.0027968883514404,0.0062599182128906
30_satellite,KNN,100.0,100.0,93.7856033143449,0.869655516913949,0.9074074074074074,0.8305084745762712,1.0,0.0391321182250976,0.0597381591796875
31_satimage-2,KNN,100.0,100.0,91.38426191843767,0.3483391725462255,0.2346938775510204,0.1329479768786127,1.0,0.0655674934387207,0.1040759086608886
32_shuttle,KNN,99.89416724319388,93.59046092601238,90.46666666666668,0.5901343632087543,0.558641975308642,0.3875802997858672,1.0,0.1328015327453613,0.2457137107849121
33_skin,KNN,99.0803638218636,97.04609573874804,91.8,0.7934222883964462,0.8319672131147541,0.7275985663082437,0.971291866028708,0.0207796096801757,0.0420107841491699
34_smtp,KNN,100.0,100.0,89.56666666666668,0.0534072169224595,0.0063492063492063,0.0031847133757961,1.0,0.0442452430725097,0.0792973041534423
35_SpamBase,KNN,92.9869022461615,81.68155050398592,84.00633412509897,0.6576780396970512,0.7785087719298246,0.8333333333333334,0.7304526748971193,0.0509178638458251,0.0733041763305664
36_speech,KNN,100.0,100.0,88.51717902350813,0.3610435027897045,0.2573099415204678,0.1476510067114094,1.0,0.1560308933258056,0.2106857299804687
37_Stamps,KNN,100.0,100.0,83.33333333333334,0.5793377114499331,0.5853658536585366,0.4137931034482758,1.0,0.0032565593719482,0.0054428577423095
38_thyroid,KNN,100.0,99.99999999999996,90.98939929328624,0.4158622112161094,0.32,0.1904761904761904,1.0,0.0293447971343994,0.0533795356750488
39_vertebral,KNN,100.0,100.0,90.2777777777778,0.7071067811865476,0.72,0.5625,1.0,0.0018389225006103,0.0034363269805908
40_vowels,KNN,100.0,100.0,89.93135011441647,0.5097403703921078,0.45,0.2903225806451613,1.0,0.0216171741485595,0.0403592586517334
41_Waveform,KNN,100.0,100.0,90.80348499515974,0.4476743017148354,0.3624161073825503,0.221311475409836,1.0,0.0163216590881347,0.0266346931457519
42_WBC,KNN,100.0,100.0,91.04477611940298,0.4763644370889549,0.4,0.25,1.0,0.0019664764404296,0.0035707950592041
43_WDBC,KNN,100.0,100.0,90.09009009009009,0.4891342724125944,0.4210526315789473,0.2666666666666666,1.0,0.0038809776306152,0.008380651473999
44_Wilt,KNN,100.0,99.99999999999996,89.55739972337483,0.5527543357424446,0.511326860841424,0.3434782608695652,1.0,0.0238831043243408,0.0424730777740478
45_wine,KNN,100.0,100.0,94.87179487179486,0.7527726527090811,0.75,0.6,1.0,0.0015211105346679,0.0029888153076171
46_WPBC,KNN,100.0,100.0,91.66666666666666,0.8104014882034583,0.8484848484848485,0.7368421052631579,1.0,0.0031137466430664,0.0074172019958496
47_yeast,KNN,97.53262158956107,92.31022433945576,93.7219730941704,0.8724668995100995,0.92,0.8702702702702703,0.9757575757575756,0.01363205909729,0.0307140350341796
1_ALOI,IForest,84.89549703370182,20.949350141808385,90.36666666666666,0.3029753791518402,0.2683544303797468,0.1677215189873417,0.6708860759493671,0.2500526905059814,0.2991268634796142
2_annthyroid,IForest,100.0,100.0,91.85185185185183,0.6590035768383312,0.6451612903225806,0.4761904761904761,1.0,0.2078909873962402,0.2459766864776611
3_backdoor,IForest,91.75705692559626,25.435368010751596,89.33333333333333,0.2615187316235247,0.2118226600985221,0.1253644314868804,0.6825396825396826,0.3378655910491943,0.3906259536743164
4_breastw,IForest,99.67863475177305,99.3028846153846,95.1219512195122,0.8963966372016942,0.927536231884058,0.8648648648648649,1.0,0.201960802078247,0.2237453460693359
5_campaign,IForest,100.0,100.0,91.06666666666666,0.6876090782501388,0.6883720930232559,0.524822695035461,1.0,0.2870280742645263,0.3424100875854492
6_cardio,IForest,99.33673469387756,95.40810802552096,91.27272727272728,0.7079080355865954,0.7142857142857143,0.5555555555555556,1.0,0.1704895496368408,0.192129373550415
7_Cardiotocography,IForest,99.9970990949176,99.98968553831138,89.60629921259843,0.7666971681181004,0.8081395348837209,0.6780487804878049,1.0,0.2310156822204589,0.2608194351196289
8_celeba,IForest,100.0,99.99999999999996,90.96666666666668,0.4000660125420576,0.2997416020671835,0.1762917933130699,1.0,0.270576000213623,0.3241915702819824
9_census,IForest,85.53679437728825,52.5579889295888,87.4,0.2927027954516634,0.3152173913043478,0.2208121827411167,0.5506329113924051,0.462979793548584,0.5314993858337402
10_cover,IForest,100.0,100.0,89.16666666666667,0.2743349023363967,0.1558441558441558,0.0845070422535211,1.0,0.3001506328582763,0.3551383018493652
11_donors,IForest,99.45005896715692,86.46584029174988,90.83333333333331,0.5508870470041985,0.5027124773960217,0.3357487922705314,1.0,0.292172908782959,0.3508493900299072
12_fault,IForest,99.84580384226491,99.61442468084532,95.19725557461408,0.9041315874126448,0.9388646288209608,0.8847736625514403,1.0,0.1874740123748779,0.2160344123840332
13_fraud,IForest,100.0,100.0,89.13333333333333,0.0901480321534296,0.0180722891566265,0.0091185410334346,1.0,0.2636749744415283,0.3157482147216797
14_glass,IForest,100.0,100.0,76.92307692307693,0.2993924754260479,0.2105263157894736,0.1176470588235294,1.0,0.167011022567749,0.1909482479095459
15_Hepatitis,IForest,100.0,100.0,91.66666666666666,0.7745966692414834,0.8,0.6666666666666666,1.0,0.1936042308807373,0.2183969020843505
16_http,IForest,100.0,100.0,89.43333333333334,0.1876517960988265,0.075801749271137,0.0393939393939393,1.0,0.2912061214447021,0.3513972759246826
17_InternetAds,IForest,63.12121212121213,26.454632088822315,76.94915254237287,0.0914016065531674,0.2093023255813953,0.2903225806451613,0.1636363636363636,0.2504563331604004,0.2918598651885986
18_Ionosphere,IForest,100.0,100.0,93.39622641509436,0.8713479454561286,0.9176470588235294,0.8478260869565217,1.0,0.186943769454956,0.2082617282867431
19_landsat,IForest,98.033858771047,94.05791358627016,90.73019161056448,0.7538887351860978,0.7986501687289089,0.696078431372549,0.9366754617414248,0.2250416278839111,0.2635135650634765
20_letter,IForest,100.0,100.0,90.0,0.5801200670493948,0.5471698113207547,0.3766233766233766,1.0,0.2097318172454834,0.2412853240966797
21_Lymphography,IForest,100.0,100.0,88.88888888888889,0.5024855165595914,0.4444444444444444,0.2857142857142857,1.0,0.1932766437530517,0.2503402233123779
22_magic.gamma,IForest,99.83285334138004,99.65099931190808,93.76666666666668,0.874956055271385,0.9166295140436916,0.8467874794069192,0.999028182701652,0.2606763839721679,0.3207426071166992
23_mammography,IForest,99.41395719543354,79.45533957421739,88.56666666666668,0.3574568434919618,0.2527233115468409,0.1446384039900249,1.0,0.285400390625,0.3381798267364502
24_mnist,IForest,100.0,100.0,91.80184129767646,0.6898206665528804,0.6867671691792295,0.5229591836734694,1.0,0.2618484497070312,0.310391902923584
25_musk,IForest,100.0,99.99999999999996,89.66267682263329,0.4570636856700013,0.3790849673202614,0.2338709677419354,1.0,0.2160961627960205,0.2449679374694824
26_optdigits,IForest,100.0,100.0,89.90415335463258,0.4709146571918343,0.3969465648854962,0.2476190476190476,1.0,0.244204044342041,0.2772736549377441
27_PageBlocks,IForest,99.02229978846954,86.20651820034631,90.91470951792336,0.6730574075089985,0.6696629213483146,0.5033783783783784,1.0,0.2394962310791015,0.2794883251190185
28_pendigits,IForest,100.0,100.0,90.97525473071325,0.43501126875324,0.3450704225352112,0.2085106382978723,1.0,0.2612898349761963,0.3102045059204101
29_Pima,IForest,100.0,100.0,94.37229437229438,0.8838834764831843,0.9202453987730062,0.8522727272727273,1.0,0.2093703746795654,0.2361040115356445
30_satellite,IForest,100.0,100.0,93.52667011910928,0.8648275895254319,0.9039200614911608,0.8246844319775596,1.0,0.2507023811340332,0.3009340763092041
31_satimage-2,IForest,100.0,100.0,89.7185525560023,0.3193713568895475,0.2044444444444444,0.1138613861386138,1.0,0.2556135654449463,0.3012950420379638
32_shuttle,IForest,100.0,100.0,89.66666666666666,0.5727977905413942,0.5386904761904762,0.3686354378818737,1.0,0.2271451950073242,0.2818741798400879
33_skin,IForest,97.76741397607724,92.90416801588457,90.9,0.7635643615445772,0.8108108108108109,0.7169117647058824,0.9330143540669856,0.293586254119873,0.3490364551544189
34_smtp,IForest,99.9666555518506,50.0,89.8,0.0540829977637185,0.0064935064935064,0.003257328990228,1.0,0.2934720516204834,0.3758454322814941
35_SpamBase,IForest,92.6484685743945,86.09996529650182,81.78939034045922,0.6097952038200652,0.7494553376906318,0.7962962962962963,0.7078189300411523,0.207916259765625,0.2489013671875
36_speech,IForest,98.86363636363636,83.23453613698715,89.33092224231464,0.3577116755644033,0.2625,0.1521739130434782,0.9545454545454546,0.2653729915618896,0.3102636337280273
37_Stamps,IForest,100.0,100.0,83.33333333333334,0.5793377114499331,0.5853658536585366,0.4137931034482758,1.0,0.1531622409820556,0.1776115894317627
38_thyroid,IForest,100.0,100.0,89.66431095406361,0.3901782096121772,0.2909090909090909,0.1702127659574468,1.0,0.1836743354797363,0.2194306850433349
39_vertebral,IForest,98.41269841269842,78.76543209876544,87.5,0.6546536707079771,0.6666666666666666,0.5,1.0,0.1601202487945556,0.1870996952056884
40_vowels,IForest,100.0,100.0,89.24485125858124,0.4958428243714247,0.4337349397590361,0.2769230769230769,1.0,0.1912274360656738,0.2208139896392822
41_Waveform,IForest,100.0,100.0,90.60987415295256,0.4435616504258093,0.3576158940397351,0.2177419354838709,1.0,0.2374999523162841,0.2793047428131103
42_WBC,IForest,100.0,100.0,91.04477611940298,0.4763644370889549,0.4,0.25,1.0,0.193610668182373,0.2209467887878418
43_WDBC,IForest,100.0,100.0,92.7927927927928,0.5553478324017039,0.5,0.3333333333333333,1.0,0.1918840408325195,0.2173159122467041
44_Wilt,IForest,100.0,100.0,89.34993084370679,0.5485064365906843,0.5064102564102564,0.3390557939914163,1.0,0.2104024887084961,0.2480518817901611
45_wine,IForest,100.0,100.0,87.17948717948718,0.568257570707744,0.5454545454545454,0.375,1.0,0.1696736812591552,0.1898114681243896
46_WPBC,IForest,100.0,100.0,93.33333333333331,0.8427009716003844,0.875,0.7777777777777778,1.0,0.1440672874450683,0.1668093204498291
47_yeast,IForest,98.70592041410548,97.23610652407216,94.84304932735424,0.8976762611299912,0.9348441926345608,0.8776595744680851,1.0,0.1804351806640625,0.2103796005249023
1_ALOI,OCSVM,100.0,100.0,91.13333333333333,0.4562159684171505,0.3726415094339622,0.2289855072463768,1.0,5.304044723510742,8.054536819458008
2_annthyroid,OCSVM,100.0,100.0,89.53703703703704,0.6063566555933755,0.5860805860805861,0.4145077720207253,1.0,1.9932427406311035,3.157764434814453
3_backdoor,OCSVM,100.0,100.0,91.3,0.420909619160677,0.3255813953488372,0.1944444444444444,1.0,11.079761505126951,16.585408210754395
4_breastw,OCSVM,100.0,100.0,95.60975609756098,0.9059536231819242,0.9343065693430656,0.8767123287671232,1.0,0.0103724002838134,0.01857590675354
5_campaign,OCSVM,100.0,100.0,89.96666666666667,0.6637923327883931,0.6629339305711086,0.4958123953098827,1.0,5.227141857147217,8.132886409759521
6_cardio,OCSVM,99.67687074829932,96.66728012546612,92.0,0.7246500806620072,0.7317073170731707,0.5769230769230769,1.0,0.1499180793762207,0.2390069961547851
7_Cardiotocography,OCSVM,91.33064516129032,61.77777777777778,21.88976377952756,0.0,0.359173126614987,0.2188976377952756,1.0,0.2702867984771728,0.495373010635376
8_celeba,OCSVM,100.0,100.0,90.2,0.3851060320931295,0.2829268292682926,0.1647727272727272,1.0,5.449134588241577,8.204616785049438
9_census,OCSVM,100.0,100.0,90.4,0.5642343522981066,0.5231788079470199,0.3542600896860987,1.0,22.833377599716187,33.47772979736328
10_cover,OCSVM,50.0,1.0,1.0,0.0,0.0198019801980198,0.01,1.0,12.574265003204346,18.905734300613403
11_donors,OCSVM,100.0,100.0,91.73333333333332,0.5727468292271118,0.5285171102661597,0.359173126614987,1.0,4.254934072494507,6.496530771255493
12_fault,OCSVM,99.9608190091001,99.92812309606536,93.65351629502572,0.8760099662718407,0.9207708779443254,0.8531746031746031,1.0,0.0993072986602783,0.1512336730957031
13_fraud,OCSVM,100.0,100.0,89.83333333333333,0.0935361360598605,0.0192926045016077,0.0097402597402597,1.0,5.426525592803955,8.59325385093689
14_glass,OCSVM,100.0,100.0,84.61538461538461,0.3744484480027127,0.2857142857142857,0.1666666666666666,1.0,0.002826452255249,0.0043988227844238
15_Hepatitis,OCSVM,87.5,44.44444444444444,16.666666666666664,0.0,0.2857142857142857,0.1666666666666666,1.0,0.0016288757324218,0.0024373531341552
16_http,OCSVM,100.0,100.0,89.5,0.1882935180870432,0.0762463343108504,0.0396341463414634,1.0,3.9256844520568848,6.190930604934692
17_InternetAds,OCSVM,99.7064393939394,98.33497728673674,91.864406779661,0.7915695032535125,0.8208955223880597,0.6962025316455697,1.0,1.5329017639160156,2.388038396835327
18_Ionosphere,OCSVM,100.0,100.0,94.33962264150944,0.888287524604595,0.9285714285714286,0.8666666666666667,1.0,0.0051655769348144,0.0086274147033691
19_landsat,OCSVM,98.66526806843837,96.5834437599458,91.04091144484724,0.7661388068247276,0.8071348940914158,0.6988416988416989,0.9551451187335092,1.4858222007751465,2.5831010341644287
20_letter,OCSVM,100.0,100.0,41.25,0.1869277961777757,0.1705882352941176,0.0932475884244373,1.0,0.1771121025085449,0.2860088348388672
21_Lymphography,OCSVM,100.0,100.0,93.33333333333331,0.6099942813304187,0.5714285714285714,0.4,1.0,0.002474308013916,0.00376558303833
22_magic.gamma,OCSVM,99.96164008837572,99.92526029228743,93.73333333333332,0.8745703662393983,0.9162956366874444,0.8455217748562038,1.0,1.9447669982910156,3.615986824035645
23_mammography,OCSVM,99.97831641623104,99.03891341886548,88.73333333333333,0.3600522751691761,0.2555066079295154,0.1464646464646464,1.0,4.232220649719238,6.6646974086761475
24_mnist,OCSVM,50.0,8.987286277948268,8.987286277948268,0.0,0.164923572003218,0.0898728627794826,1.0,8.541064262390137,13.39210844039917
25_musk,OCSVM,50.0,3.1556039173014145,3.1556039173014145,0.0,0.0611814345991561,0.0315560391730141,1.0,1.841022491455078,2.937037467956543
26_optdigits,OCSVM,100.0,100.0,3.3226837060702876,0.0,0.0643166357452071,0.0332268370607028,1.0,2.542515754699707,4.182546377182007
27_PageBlocks,OCSVM,73.96187882913547,16.301969365426697,9.208899876390603,0.0,0.1686474250141482,0.092088998763906,1.0,2.626194477081299,4.407823085784912
28_pendigits,OCSVM,100.0,100.0,91.16933527413876,0.4392417435029327,0.35,0.2121212121212121,1.0,2.2134366035461426,3.223963499069214
29_Pima,OCSVM,84.61538461538461,60.97560975609756,32.467532467532465,0.0,0.4901960784313725,0.3246753246753247,1.0,0.0274248123168945,0.0515904426574707
30_satellite,OCSVM,97.20774385703648,88.68778280542986,30.45054375971,0.0,0.4668519253672092,0.3045054375970999,1.0,1.767606496810913,3.443452835083008
31_satimage-2,OCSVM,96.01280558789288,14.374999999999998,1.321079839172889,0.0,0.0260770975056689,0.0132107983917288,1.0,3.1999878883361816,5.249941110610962
32_shuttle,OCSVM,99.62752749201846,89.60396039603961,6.800000000000001,0.0222723606392212,0.1146295123495883,0.0607994625461874,1.0,7.1776511669158936,11.682559251785278
33_skin,OCSVM,98.21429411555168,94.7803218279195,91.0,0.7670554464837676,0.8132780082987552,0.717948717948718,0.937799043062201,2.396423101425171,4.1154584884643555
