Model,AUCROC_mean,AUCROC_std,AUCPR_mean,AUCPR_std,Accuracy_mean,Accuracy_std,MCC_mean,MCC_std,F1 Score_mean,F1 Score_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Time Train_mean,Time Train_std,Time Test_mean,Time Test_std
AutoEncoder,82.94103849431012,16.922891481373014,51.37677305166666,29.7196009910828,84.6768266833105,7.301856770924525,0.3387990134604526,0.22690655054274012,0.3658968812994251,0.2334466045355756,0.3223008523343213,0.24297011143638902,0.6410588064264119,0.3328332212140941,1.7689380796106011,1.9245545425501684,0.027157591269896864,0.024757566506996512
COPOD,76.45823438506052,19.701063510537395,38.61093815888591,29.05288155569096,83.84835637972904,8.831280875577008,0.2483137301060714,0.2432128466001718,0.28448672785744217,0.22932153488822457,0.2894392084512092,0.26923409194466236,0.4735583448140919,0.34928821021657624,0.0471946441375457,0.09087507313222114,0.11527014100873789,0.23290805758423336
DIF,77.11676901982129,18.146088090763264,41.52555007484105,28.90279563254321,86.19070916886884,11.927624589301333,0.19331717581928912,0.2610413120539682,0.19988304392356157,0.2456565812019883,0.3250930965283679,0.38015276189617425,0.25126172741749425,0.3275903279285779,6.692368087467846,5.112914006327819,3.0425298031385952,2.3199855929412387
DeepSVDD,75.0815689776243,20.385386305721376,40.20782274159344,30.177886485110783,83.53907274570209,8.286211510374155,0.24193471326090926,0.23556422965466295,0.28568674144307704,0.22917438027904322,0.2746456674617165,0.2535159930566183,0.4795227936302913,0.34741916674101486,2.139572489369023,1.8669559587699671,0.0020078216587100543,0.00447938647553523
ECOD,76.39180572311554,19.865782983973904,42.04428111324939,30.076196891567296,83.85543086089284,8.752962377229016,0.25314584429561715,0.23832622569226447,0.28991543365599626,0.22379794683853915,0.28662200271759003,0.25601439019067057,0.49311605431860434,0.3564567051874294,0.04825923571715479,0.1077914100770448,0.1140155577444815,0.25321993912245866
IForest,79.31197220859224,18.51869223841919,42.090238314269854,30.869187675616807,84.21991743605648,7.645163407409567,0.27154709605603294,0.2401102335844105,0.310081376539687,0.23900159417411376,0.2929661362890426,0.25890495155149923,0.5200801299273741,0.3525163854425686,0.06287906513557773,0.01879146403772991,0.0066619037507890085,0.004258092079784188
KNN,83.63729599623817,17.438694726139374,56.531539297758194,31.821002694962264,85.7436326567438,7.635878803550258,0.3510804093992783,0.25062716384834294,0.3762662832581378,0.2508328864352003,0.33581436737564024,0.2624990926765375,0.632315823107877,0.3490699677809879,0.0540581200573895,0.12474192422225829,0.028705663509197014,0.06282475594066042
LUNAR,85.93723139232202,16.052690415754203,59.56704328989719,31.36649406020789,82.4795266812708,15.123748356971124,0.36162045346989413,0.2645902130488464,0.38228882846740775,0.26471019810381885,0.35623535324379724,0.28801965733804225,0.6504043849969955,0.3517395965962925,6.564337249512368,4.827984362716144,0.0428243738539675,0.061852929147081376
NeuTraLAD,78.03188739645898,18.035211445533548,45.65905513876219,32.567797368643056,86.47578660233556,11.104067586053596,0.24395818903758906,0.25747845335155434,0.2547209354438946,0.22834397790809885,0.39152369583749597,0.3476847824589584,0.31534158059183015,0.3334295348696249,19.896970652245187,21.038176606448765,0.015969131443951536,0.024558324886296393
OCSVM,68.19711638552738,19.403167092906923,27.98471514372962,25.01924593088637,59.89317920506965,34.43248675596387,0.17060492833117513,0.21403705397158104,0.2581323503531346,0.2131192126857613,0.22286803146744064,0.22719698431580446,0.6707529939059061,0.35309315241901673,1.4169661558426179,2.44214056088712,0.4644085609161102,0.7051718408904482
PCA,77.81704179998458,21.03009487771304,45.41924010566257,31.922585132756133,84.01425984338803,8.315431124454818,0.2730329812534738,0.24783305756649915,0.30598857958550585,0.241030644417109,0.28258846695949236,0.25788066938179294,0.5528970551024138,0.3675954211490147,0.6842527172782205,4.560505378401915,0.04510483894756129,0.24981462553400618
SFF_OD,86.00146405961311,15.746859059426765,50.116111319665514,29.56833779283161,90.75405730930743,10.09666319167637,0.4080424160180122,0.33375643807151456,0.4126234245963875,0.33355352742725974,0.5148738615674069,0.35718651352684383,0.4394373041632268,0.3836028973886117,0.06471385245627541,0.21184154831374508,0.011425369343859031,0.012868445264363376
XGBClassifier,50.0,0.0,12.124831849726931,12.404315530043124,88.13314329601194,12.395713905250895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034793502726453374,0.04669414703624391,0.0019628017506700397,0.0007651026371866124
