Model,AUCROC_mean,AUCROC_std,AUCPR_mean,AUCPR_std,Accuracy_mean,Accuracy_std,MCC_mean,MCC_std,F1 Score_mean,F1 Score_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Time Train_mean,Time Train_std,Time Test_mean,Time Test_std
AutoEncoder,82.9298981931933,16.879485323428703,51.396787409186736,29.76771873284125,84.58923017085205,7.347477397531718,0.33477075730275035,0.22872255366058517,0.3619356694429251,0.23349909452970274,0.3200872658330943,0.24520171110400302,0.637289861248555,0.33644476505145654,3.6735934212401107,4.147612673584886,0.05033225626558866,0.06202208691568433
COPOD,76.49443560398774,19.531945912872647,38.50846787530528,29.07341789717334,83.82941188544382,8.910477980116694,0.24939496195300964,0.24487246953224923,0.2863636945448296,0.23023435683989354,0.29204414539997114,0.2709987361368625,0.4734715884830631,0.34730843568085024,0.04055964517163796,0.0813108801838104,0.10262758345217313,0.21365372443102074
DIF,77.05359157546742,18.23647962897896,40.537289759664084,28.477286228260436,86.75965857117994,11.689043584396606,0.1792222191333473,0.2472557797051435,0.1863275802078019,0.23659378260777222,0.3065431176964764,0.3696412991426,0.23354472577369195,0.31521628339560775,7.002426473130571,5.228142665363126,3.2483889691373133,2.4406470696365137
DeepSVDD,73.58788635463077,21.429060877113912,39.91336396933933,30.34593656066903,83.5370757164005,8.44125594927217,0.23255840760468163,0.24419817755422052,0.27877187259251757,0.23645392439981927,0.2667620004673349,0.25237171486530185,0.4646849481117556,0.3561031701193821,2.610615872048043,2.246687219756594,0.004404029330691726,0.012582742095598159
ECOD,76.21496292676049,19.78104731056598,41.79368575980992,30.15937883497714,83.86417658077477,8.705509119112213,0.25326645346928706,0.23751948848480764,0.29026873559257604,0.22357018095492018,0.28653480537779236,0.25585664639835015,0.49299010233437796,0.3554519037068984,0.033642396196588695,0.0706225775632472,0.08197004301053981,0.18114881834868712
IForest,78.69910624277895,18.91222486566323,41.378800567495475,30.416771363721363,84.11853475977551,7.832635575810451,0.26435539243672945,0.23963230809910954,0.30350746142087814,0.23576619766351273,0.2845587158520438,0.2529778927197454,0.5144810192982776,0.35279711188828866,0.09869727572879271,0.03039807828695561,0.010823914596626301,0.0076567323508956505
KNN,83.0610592190701,17.743814510652566,55.833703689921784,31.78591326547512,85.41435633690591,7.773952533727471,0.3435006894317758,0.24880158553472667,0.3691752731096401,0.247217267255445,0.3306651115379785,0.2574898361591083,0.6277098191868988,0.35047938019906155,0.07292339930663233,0.14184093942762552,0.038764409116796496,0.0741135488650053
LUNAR,85.17346018158042,16.638655213808914,59.09584256271249,31.736479092610093,85.10284245186489,12.136445106195959,0.3824845297080972,0.26428044348437296,0.401383762169658,0.2615749825210438,0.37830842435776696,0.28492361356905205,0.6442550195592421,0.35687282849506613,9.252819380861647,11.35729442600833,0.05883034645242889,0.08582026493170562
NeuTraLAD,78.2257673559514,17.605560027132075,45.285478053476716,32.4211650526603,86.8115514717685,10.955494715775265,0.24023722957687652,0.26325634171733353,0.2526643045335122,0.23768288364136522,0.3771509546264119,0.34097571703804935,0.3104069819498961,0.3323506131941785,412.0227830054912,5937.769098477621,0.010018953363946094,0.015035292266523545
OCSVM,67.1023784664254,19.18553353294877,27.047825059659324,24.610213915299394,58.742804859318206,34.639394379487825,0.15799536302889364,0.21377421645624403,0.2555737087237479,0.21388976838189183,0.21565406551468544,0.2204137781795867,0.671147397325789,0.35622663139293415,1.9465524065601933,4.155704320830996,0.6157807348010776,1.1566058123407943
PCA,77.31863455419945,21.1932123887371,44.79242133860526,31.92887517885865,83.84863970856222,8.495215929442725,0.2652854929803677,0.2469505318901535,0.2987083263594053,0.2394388895740887,0.27736786939167357,0.25808372608768493,0.5459883969623999,0.3700098319992679,0.29109452070434233,1.5286925797197417,0.04771248369269027,0.25344349186634413
SFF_OD,85.66040230921391,15.792206099542097,49.896603067402744,28.698545334766074,90.56584119037068,10.213815511242853,0.41083278469814544,0.3331856244287903,0.418555764100867,0.3295102626584827,0.5146173279194973,0.35303369297770837,0.4430848121390876,0.38055998290456394,0.1632282257080078,0.4581246155120231,0.03670245028556657,0.05899590173466347
XGBClassifier,50.0,0.0,12.124831849726931,12.404315530043124,88.13314329601194,12.395713905250895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03631291288010613,0.04594803553273504,0.002082592375734972,0.0020086474975051284
