Model,AUCROC_mean,AUCROC_std,AUCPR_mean,AUCPR_std,Accuracy_mean,Accuracy_std,MCC_mean,MCC_std,F1 Score_mean,F1 Score_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Time Train_mean,Time Train_std,Time Test_mean,Time Test_std
AutoEncoder,75.31989484400586,19.78674170304465,54.04684278104294,29.484860275358077,79.93900232813584,12.455290568881166,0.32193872500212656,0.2810803674185652,0.4238160783118164,0.28373075270645925,0.4569524230511324,0.2983885738757617,0.5312290273226008,0.3571767553259098,2.022498408250049,1.9257416462057424,0.04155149080057055,0.034084255611654346
COPOD,63.03846223958188,13.47703838631333,31.389633633959765,22.89739073834307,80.47356555703058,8.26904223909864,0.16854299371701434,0.20365995913371016,0.2596653005219527,0.19245489711861105,0.30152494147281167,0.24538124813779427,0.26785669329564255,0.20443878976066981,0.04489591536314586,0.09581015777170525,0.11271902685580042,0.24092674624773852
DIF,63.351793450401466,13.415588532500742,31.748156806803593,21.10848268395801,82.69899397603038,10.93952048872698,0.11024912318328023,0.1712834710699917,0.1371869816617672,0.1729328271249518,0.30554730443643346,0.34874013328492737,0.11744115570257464,0.16084841732244018,24.275698218447097,61.54620991825357,9.739882255107798,18.546344673439087
DeepSVDD,61.89478070031428,13.665711453824693,31.66734868005583,22.57076015730918,80.5710027130392,7.739577458966492,0.17009198712951132,0.2073002391829477,0.2685224079566793,0.20502218008525894,0.2871156630780809,0.2311585709715412,0.2834110394777449,0.21544128152846645,1.4925892885150827,1.221532120602853,0.0011856412682921596,0.0013652851195998003
ECOD,63.12119226703976,13.298306575532669,32.66748338232244,22.228402284717053,80.5674284014291,8.22764718262541,0.17729491227029875,0.2009527815292671,0.2718778708073317,0.18966288779335475,0.3041912280642405,0.23183792369369555,0.28338382761812897,0.20582659990457902,0.04652302265167232,0.09390245125380858,0.11084820187610124,0.23254814939963736
IForest,64.84490847401472,13.776160230858569,34.0919597052908,24.2446466985051,80.96360901823759,7.32359505050217,0.18918117335811002,0.2087323875693665,0.2845922871730427,0.2061557138703116,0.30730427725103915,0.24159404810292798,0.30156143069140645,0.22128467426739123,0.178372426743203,0.05386749296281374,0.016818343832137688,0.010948278282350012
KNN,67.24197271063285,12.914039921113972,37.80391505926015,22.905392672985744,81.89520293534541,7.173377340015483,0.24298531024289446,0.21469042103601482,0.3337667759070238,0.21234008424913015,0.3482605427422392,0.2414798797935062,0.36005470428574354,0.22837789528857355,0.11352898245272425,0.21486799379350674,0.0732469164806863,0.13111443138261875
LUNAR,67.89124136803193,13.869842116816505,38.701855028859676,23.65955606378368,80.05641969913944,12.3349251879271,0.2440702789455426,0.21528755733058821,0.3202916640760133,0.2090525019475717,0.372512871322733,0.26223568865529534,0.36206581189295967,0.2518321536374198,30.018774202022147,100.31762708319295,0.13729711796375027,0.4259998950793375
NeuTraLAD,63.85447336752885,12.381503609978587,31.614253146236624,21.182773017957032,82.79132436141235,9.85450042517909,0.136712398531212,0.17449727768972054,0.1797988172972796,0.14691356783153298,0.3537911128053057,0.2905650855699087,0.13567696302901253,0.12763007671055335,29.994043325870596,30.968065024161266,0.01344615956570235,0.020984918598870708
OCSVM,59.060724246800355,12.373966267944581,25.496648463834433,20.354383259208362,59.648753930445125,30.97568985897028,0.1198532698203628,0.17734247319494567,0.2651988306812038,0.17952981682808278,0.24664803608763125,0.2090598989265903,0.5203322105999034,0.36846579230673837,2.406479977524799,4.787709594215128,0.7707399793293165,1.3326017145019846
PCA,62.997255926896806,14.759881751417865,33.779421429445314,23.55727689956212,80.43499889648255,8.001694967215977,0.18482310163039983,0.21312270889900156,0.28126167944578934,0.2071005133676183,0.2980691859907551,0.23182653125775604,0.3094426090580103,0.2371635330373461,0.9024806612416317,4.961645680250688,0.07694985615579701,0.43027709030052674
SFF_OD,67.4197751340531,13.15701288207054,36.09889608536833,22.935272888093568,85.62894346306713,9.692866153321614,0.21539084827539157,0.22135768164398675,0.22119512199581193,0.2184839497219236,0.4703460161461451,0.3304192888832772,0.1653249725615896,0.19486015030531983,0.15297799211867308,0.3915002912135128,0.03370051688336306,0.04200435449032387
XGBClassifier,50.0,0.0,16.175507425199136,11.316187760769239,83.89332452129108,11.341174929639944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12437201459357075,0.08948870392933353,0.004931585839454113,0.002818132260008977
